word	change (%)	opm BASE	opm INST	significant
synchrony_NOUN	549.45	0.61	3.95	False
periprosthetic_ADJ	549.45	0.61	3.95	False
uti_NOUN	549.45	0.61	3.95	False
rsfc_ADJ	549.45	0.61	3.95	False
ac_NOUN	549.45	0.61	3.95	False
swimmer_NOUN	549.45	0.61	3.95	False
cytosol_VERB	549.45	0.61	3.95	False
polynomial_ADJ	549.45	0.61	3.95	False
confident_ADJ	549.45	0.61	3.95	False
captivity_NOUN	549.45	0.61	3.95	False
enterprise_NOUN	549.45	0.61	3.95	False
dyclonine_NOUN	549.45	0.61	3.95	False
disorganized_ADJ	549.45	0.61	3.95	False
upgrade_NOUN	549.45	0.61	3.95	False
tune_NOUN	549.45	0.61	3.95	False
batter_NOUN	549.45	1.22	7.91	True
loose_ADJ	549.45	0.61	3.95	False
enterococci_NOUN	549.45	0.61	3.95	False
dimodular_ADJ	549.45	0.61	3.95	False
olig2_NOUN	549.45	0.61	3.95	False
coagulate_VERB	549.45	0.61	3.95	False
hydrostatic_ADJ	549.45	0.61	3.95	False
strengthening_NOUN	549.45	0.61	3.95	False
ndgc_NOUN	549.45	0.61	3.95	False
vinegar_NOUN	549.45	0.61	3.95	False
pvi_NOUN	549.45	0.61	3.95	False
electrolysis_NOUN	549.45	0.61	3.95	False
apse_ADJ	549.45	0.61	3.95	False
neurointerventional_ADJ	549.45	0.61	3.95	False
hyperammonemia_NOUN	549.45	0.61	3.95	False
desmin_NOUN	549.45	0.61	3.95	False
sulfonation_NOUN	549.45	0.61	3.95	False
disconnection_NOUN	549.45	0.61	3.95	False
tomosynthesis_NOUN	549.45	0.61	3.95	False
demg_ADJ	549.45	0.61	3.95	False
ncr_NOUN	549.45	0.61	3.95	False
btec_NOUN	549.45	0.61	3.95	False
lacerum_VERB	549.45	0.61	3.95	False
bivalve_NOUN	549.45	0.61	3.95	False
bivalve_ADJ	549.45	0.61	3.95	False
insole_ADJ	549.45	0.61	3.95	False
makeshift_ADJ	549.45	0.61	3.95	False
polyploid_NOUN	549.45	0.61	3.95	False
merluccius_NOUN	549.45	0.61	3.95	False
o4_NOUN	549.45	0.61	3.95	False
RARβ_NOUN	549.45	0.61	3.95	False
agarose_ADJ	549.45	0.61	3.95	False
enterotoxin_NOUN	549.45	0.61	3.95	False
guilt_NOUN	549.45	1.22	7.91	True
neuroanatomical_ADJ	549.45	0.61	3.95	False
evernic_ADJ	549.45	0.61	3.95	False
vermiculite_ADJ	549.45	0.61	3.95	False
optimality_NOUN	549.45	0.61	3.95	False
sacubitril_NOUN	549.45	0.61	3.95	False
predeployment_ADJ	549.45	0.61	3.95	False
rinse_VERB	549.45	0.61	3.95	False
buffering_NOUN	549.45	0.61	3.95	False
biomethane_NOUN	549.45	0.61	3.95	False
optimistic_ADJ	549.45	0.61	3.95	False
pbpk_ADJ	549.45	0.61	3.95	False
sealant_NOUN	549.45	0.61	3.95	False
borne_NOUN	549.45	0.61	3.95	False
dinoflagellate_NOUN	549.45	0.61	3.95	False
intelligibility_NOUN	549.45	0.61	3.95	False
pasture_NOUN	549.45	0.61	3.95	False
ineligible_ADJ	549.45	0.61	3.95	False
disorientation_NOUN	549.45	0.61	3.95	False
3ππ_ADJ	549.45	0.61	3.95	False
sssd_NOUN	549.45	0.61	3.95	False
oilseed_NOUN	549.45	0.61	3.95	False
fndf_ADJ	549.45	0.61	3.95	False
radish_ADJ	549.45	0.61	3.95	False
ohhe_NOUN	549.45	0.61	3.95	False
calb_NOUN	549.45	0.61	3.95	False
vancomycin_ADV	549.45	0.61	3.95	False
ynamide_NOUN	549.45	0.61	3.95	False
cicada_NOUN	549.45	0.61	3.95	False
subgenotype_NOUN	549.45	0.61	3.95	False
improper_ADJ	549.45	0.61	3.95	False
msn_NOUN	549.45	0.61	3.95	False
sti_NOUN	549.45	0.61	3.95	False
mucoepidermoid_ADJ	549.45	0.61	3.95	False
wasp_ADJ	549.45	0.61	3.95	False
austenite_ADJ	549.45	0.61	3.95	False
osas_ADJ	549.45	0.61	3.95	False
ephaptic_ADJ	549.45	0.61	3.95	False
embodiment_NOUN	549.45	0.61	3.95	False
offense_NOUN	549.45	0.61	3.95	False
laryngitis_NOUN	549.45	0.61	3.95	False
gaaoa_NOUN	549.45	0.61	3.95	False
fte_NOUN	549.45	0.61	3.95	False
tpa_ADP	549.45	0.61	3.95	False
marketer_NOUN	549.45	0.61	3.95	False
HTx_NOUN	549.45	0.61	3.95	False
genomrf_NOUN	549.45	0.61	3.95	False
cathepsin_ADJ	549.45	0.61	3.95	False
photobioreactor_NOUN	549.45	0.61	3.95	False
khat_ADV	549.45	0.61	3.95	False
temsirolimus_NOUN	549.45	0.61	3.95	False
boreal_NOUN	549.45	0.61	3.95	False
oc_NOUN	549.45	0.61	3.95	False
srage_NOUN	549.45	0.61	3.95	False
parsley_NOUN	549.45	0.61	3.95	False
3ubp_NOUN	549.45	0.61	3.95	False
galaxy_NOUN	549.45	0.61	3.95	False
ivqa_ADJ	549.45	0.61	3.95	False
hydroxyimperatorin_NOUN	549.45	0.61	3.95	False
gyra_NOUN	549.45	0.61	3.95	False
supragingival_NOUN	549.45	0.61	3.95	False
autonomy_NOUN	549.45	7.92	51.41	True
otter_NOUN	526.25	2.44	15.25	True
artifact_NOUN	518.52	3.65	22.60	True
irritation_NOUN	518.52	1.83	11.30	True
stomatal_ADJ	518.52	1.83	11.30	True
truffle_NOUN	518.52	1.83	11.30	True
precaution_NOUN	518.52	1.83	11.30	True
faceted_ADJ	503.06	1.22	7.34	True
disproportionately_ADV	503.06	1.22	7.34	True
uniformly_ADV	503.06	1.22	7.34	True
folate_NOUN	503.06	1.22	7.34	True
anesthesiologist_NOUN	503.06	1.22	7.34	True
aaa_NOUN	503.06	1.22	7.34	True
hypoglycemic_ADJ	503.06	1.22	7.34	True
initio_NOUN	503.06	1.22	7.34	True
tendon_NOUN	503.06	1.22	7.34	True
wf_NOUN	503.06	1.22	7.34	True
incineration_NOUN	503.06	1.22	7.34	True
microcapsule_NOUN	503.06	1.22	7.34	True
underlie_VERB	496.06	109.00	649.72	True
highlight_VERB	494.99	297.78	1771.76	True
tax_NOUN	487.59	1.83	10.73	True
policymaker_NOUN	479.86	12.18	70.62	True
personalized_ADJ	464.85	20.70	116.95	True
scheduling_NOUN	456.67	0.61	3.39	False
littoral_ADJ	456.67	0.61	3.39	False
reciprocal_ADJ	456.67	0.61	3.39	False
substage_NOUN	456.67	0.61	3.39	False
plerixomer_NOUN	456.67	0.61	3.39	False
etn_NOUN	456.67	0.61	3.39	False
hit_NOUN	456.67	0.61	3.39	False
misconception_NOUN	456.67	0.61	3.39	False
attack_VERB	456.67	0.61	3.39	False
detergent_NOUN	456.67	0.61	3.39	False
childcare_NOUN	456.67	0.61	3.39	False
er_NOUN	456.67	0.61	3.39	False
NOx_NOUN	456.67	0.61	3.39	False
unauthorized_ADJ	456.67	0.61	3.39	False
intimacy_NOUN	456.67	0.61	3.39	False
convey_VERB	456.67	1.22	6.78	True
logistical_ADJ	456.67	0.61	3.39	False
closeness_NOUN	456.67	0.61	3.39	False
p25_NOUN	456.67	0.61	3.39	False
sprouting_NOUN	456.67	0.61	3.39	False
nanodomain_NOUN	456.67	0.61	3.39	False
scs_NOUN	456.67	0.61	3.39	False
mse_NOUN	456.67	0.61	3.39	False
invest_VERB	456.67	2.44	13.56	True
orthotic_NOUN	456.67	0.61	3.39	False
selenoprotein_NOUN	456.67	1.22	6.78	True
coefficient_ADJ	456.67	0.61	3.39	False
rs_NOUN	456.67	0.61	3.39	False
osteotomy_ADJ	456.67	0.61	3.39	False
carvedilol_NOUN	456.67	0.61	3.39	False
choroidal_ADJ	456.67	0.61	3.39	False
unequal_ADJ	456.67	0.61	3.39	False
diverge_VERB	456.67	0.61	3.39	False
coarse_ADV	456.67	0.61	3.39	False
5s_ADJ	456.67	0.61	3.39	False
socio_VERB	456.67	0.61	3.39	False
biaxial_ADJ	456.67	0.61	3.39	False
superconducte_VERB	456.67	1.22	6.78	True
eddy_ADJ	456.67	0.61	3.39	False
drg_NOUN	456.67	0.61	3.39	False
crenatus_NOUN	456.67	0.61	3.39	False
aflatoxigenic_ADJ	456.67	0.61	3.39	False
pointed_ADJ	456.67	0.61	3.39	False
antagonism_NOUN	456.67	0.61	3.39	False
microbubble_ADJ	456.67	0.61	3.39	False
cm²_NOUN	456.67	1.22	6.78	True
cabg_NOUN	456.67	0.61	3.39	False
franciscana_NOUN	456.67	0.61	3.39	False
aerospace_NOUN	456.67	0.61	3.39	False
golimumab_NOUN	456.67	0.61	3.39	False
loud_ADJ	456.67	0.61	3.39	False
piperita_NOUN	456.67	0.61	3.39	False
pyometra_NOUN	456.67	0.61	3.39	False
petg_NOUN	456.67	0.61	3.39	False
nanoporous_ADJ	456.67	0.61	3.39	False
smell_NOUN	456.67	0.61	3.39	False
premotor_NOUN	456.67	0.61	3.39	False
uav_NOUN	456.67	0.61	3.39	False
crustal_ADJ	456.67	0.61	3.39	False
eps_NOUN	456.67	0.61	3.39	False
tsutsugamushi_NOUN	456.67	0.61	3.39	False
reentrant_ADJ	456.67	0.61	3.39	False
oxytocin_NOUN	456.67	2.44	13.56	True
altruism_NOUN	456.67	0.61	3.39	False
broccoli_NOUN	456.67	0.61	3.39	False
cytoprotective_ADJ	456.67	0.61	3.39	False
acidify_VERB	456.67	0.61	3.39	False
paused_ADJ	456.67	0.61	3.39	False
hypnosis_NOUN	456.67	0.61	3.39	False
lanthanide_ADJ	456.67	0.61	3.39	False
hydrolyzed_ADJ	456.67	0.61	3.39	False
hamsc_NOUN	456.67	0.61	3.39	False
fibrogenesis_NOUN	456.67	0.61	3.39	False
crm_NOUN	456.67	0.61	3.39	False
anticholinergic_ADJ	456.67	0.61	3.39	False
mentorship_NOUN	456.67	1.22	6.78	True
TLR_NOUN	456.67	0.61	3.39	False
gluconic_ADJ	456.67	0.61	3.39	False
learner_NOUN	456.67	1.22	6.78	True
fibroblastoid_ADJ	456.67	0.61	3.39	False
mucilage_NOUN	456.67	0.61	3.39	False
dandelion_NOUN	456.67	0.61	3.39	False
stent_ADJ	456.67	0.61	3.39	False
grind_VERB	456.67	0.61	3.39	False
chaos_NOUN	456.67	0.61	3.39	False
capsular_ADJ	456.67	0.61	3.39	False
sociosexual_ADJ	456.67	0.61	3.39	False
conjugate_ADJ	456.67	0.61	3.39	False
tactile_ADP	456.67	0.61	3.39	False
terrain_NOUN	456.67	0.61	3.39	False
kynurenine_NOUN	456.67	0.61	3.39	False
legacy_NOUN	456.67	0.61	3.39	False
ai_NOUN	456.67	0.61	3.39	False
saccade_NOUN	456.67	0.61	3.39	False
npc_NOUN	456.67	0.61	3.39	False
distractor_NOUN	456.67	0.61	3.39	False
unlock_VERB	456.67	0.61	3.39	False
anthropi_NOUN	456.67	0.61	3.39	False
task_ADJ	456.67	1.22	6.78	True
bcaa_NOUN	456.67	0.61	3.39	False
bimanual_ADJ	456.67	0.61	3.39	False
cater_VERB	456.67	0.61	3.39	False
widower_NOUN	456.67	0.61	3.39	False
sporangium_NOUN	456.67	0.61	3.39	False
whichever_PRON	456.67	0.61	3.39	False
heater_NOUN	456.67	0.61	3.39	False
axis_VERB	456.67	0.61	3.39	False
quiescence_NOUN	456.67	0.61	3.39	False
notch_ADJ	456.67	0.61	3.39	False
vfr_NOUN	456.67	0.61	3.39	False
